Equipment_Name,MAC,IP,Device_Category,Device_Type,Notes,Status_Check,SNMP_Community,SNMP_Version,Network_Location_ID
4009 Billings C9 .90,0A:00:3E:92:24:76,10.4.9.90,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,11
4009 Billings Netonix .6,00:00:00:00:00:0A,10.4.9.6,POE,Netonix POE Switch,,ICMP and SNMP,!highspeed,2,11
4009 Billings PBEM5 .56,80:2A:A8:A9:56:84,10.4.9.56,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,11
4009 Billings Netonix .5,00:00:00:00:00:0A,10.4.9.5,POE,Netonix POE Switch,,ICMP and SNMP,!highspeed,2,11
4009 Billings C2 .26,0A:00:3E:26:B5:53,10.4.9.26,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,11
4009 Billings RTR,00:00:00:00:00:0A,10.4.9.254,Router,Mikrotik Router,,ICMP and SNMP,!highspeed,2,11
4009 Billings C2 .25,0A:00:3E:26:3E:0B,10.4.9.25,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,11
4009 Billings C2 .24,0A:00:3E:26:47:14,10.4.9.24,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,11
4009 Billings C2 .23,0A:00:3E:25:E0:7A,10.4.9.23,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,11
4009 Billings C2 .22,0A:00:3E:27:A3:5E,10.4.9.22,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,11
4009 Billings C2 .21,0A:00:3E:23:91:01,10.4.9.21,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,11
4009 Billings UPS,00:00:00:00:00:0A,10.4.9.15,UPS,APC UPS,,ICMP and SNMP,!highspeed,2,11
4009 Billings AF5x .139,06:18:D6:E3:B9:8B,10.4.9.139,Backhaul,Ubiquiti PTP,,ICMP and SNMP,!highspeed,1,11
4009 Billings AF5x .138,82:2A:A8:CE:1D:58,10.4.9.138,Backhaul,Ubiquiti PTP,,ICMP and SNMP,!highspeed,1,11
4084 Holiday Island C9+ .94,0A:00:3E:45:90:76,10.4.84.94,Access Point,Cambium PMP450 AP,,ICMP and SNMP,!highspeed,2,148
4084 Holiday Island NSM365 .31,24:A4:3C:41:83:40,10.4.84.31,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,148
4084 Holiday Island RTR,00:00:00:00:00:0A,10.4.84.254,Router,Mikrotik Router,,ICMP and SNMP,!highspeed,2,148
4084 Holiday Island C2 .20,0A:00:3E:26:A7:C2,10.4.84.20,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,148
4084 Holiday Island UPS,00:00:00:00:00:0A,10.4.84.15,UPS,APC UPS,,ICMP and SNMP,!highspeed,2,148
4084 Holiday Island AF5x .131,06:18:D6:E3:BA:45,10.4.84.131,Backhaul,Ubiquiti PTP,,ICMP and SNMP,!highspeed,1,148
4084 Holiday Island AF5x .130,06:18:D6:E3:B0:3C,10.4.84.130,Backhaul,Ubiquiti PTP,,ICMP and SNMP,!highspeed,1,148
4084 Holiday Island Netonix .12,00:00:00:00:00:0A,10.4.84.12,POE,Netonix POE Switch,,ICMP and SNMP,!highspeed,2,148
4084 Holiday Island Netonix .11,00:00:00:00:00:0A,10.4.84.11,POE,Netonix POE Switch,,ICMP and SNMP,!highspeed,2,148
4077 Harvest Hill C9+ .99,0A:00:3E:45:91:F8,10.4.77.99,Access Point,Cambium PMP450 AP,,ICMP and SNMP,!highspeed,2,22
4077 Harvest Hill C9 .94,0A:00:3E:90:8D:22,10.4.77.94,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,22
4077 Harvest Hill C9+ .93,0A:00:3E:45:90:D3,10.4.77.93,Access Point,Cambium PMP450 AP,,ICMP and SNMP,!highspeed,2,22
4077 Harvest Hill C9 .91,0A:00:3E:91:B5:D9,10.4.77.91,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,22
4077 Harvest Hill RTR,00:00:00:00:00:0A,10.4.77.254,Router,Mikrotik Router,,ICMP and SNMP,!highspeed,2,22
4077 Harvest Hill RM2 .20,00:27:22:CB:BD:40,10.4.77.20,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,22
4077 Harvest Hill RM5 .131,00:27:22:CB:A6:71,10.4.77.131,Backhaul,Ubiquiti PTP,,ICMP and SNMP,!highspeed,1,22
4077 Harvest Hill RM5 .130,00:27:22:45:8B:60,10.4.77.130,Backhaul,Ubiquiti PTP,,ICMP and SNMP,!highspeed,1,22
4007 Clever C9+ .94,0A:00:3E:45:88:FB,10.4.7.94,Access Point,Cambium PMP450 AP,,ICMP and SNMP,!highspeed,2,10
4007 Clever C9+ .93,0A:00:3E:45:8A:CB,10.4.7.93,Access Point,Cambium PMP450 AP,,ICMP and SNMP,!highspeed,2,10
4007 Clever C9+ .92,0A:00:3E:45:8B:53,10.4.7.92,Access Point,Cambium PMP450 AP,,ICMP and SNMP,!highspeed,2,10
4007 Clever C9+ .91,0A:00:3E:45:8A:2F,10.4.7.91,Access Point,Cambium PMP450 AP,,ICMP and SNMP,!highspeed,2,10
4007 Clever RM5 .59,44:D9:E7:45:C4:7A,10.4.7.59,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,10
4007 Clever RM5 .58,44:D9:E7:65:94:EE,10.4.7.58,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,10
4007 Clever RM5 .57,44:D9:E7:65:94:F4,10.4.7.57,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,10
4007 Clever C5 .56,0A:00:3E:F6:51:70,10.4.7.56,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,10
4007 Clever C5 .55,0A:00:3E:F7:88:77,10.4.7.55,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,10
4007 Clever C5 .54,0A:00:3E:F5:3C:98,10.4.7.54,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,10
4007 Clever C5 .53,0A:00:3E:F2:26:BC,10.4.7.53,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,10
4007 Clever C5 .52,0A:00:3E:FA:67:E1,10.4.7.52,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,10
4007 Clever C5 .51,0A:00:3E:F1:C1:FB,10.4.7.51,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,10
4007 Clever C5 .50,0A:00:3E:F4:3A:E3,10.4.7.50,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,10
4007 Clever Netonix .5,00:00:00:00:00:0A,10.4.7.5,POE,Netonix POE Switch,,ICMP and SNMP,!highspeed,2,10
4007 Clever NSM365 .32,DC:9F:DB:67:F0:6A,10.4.7.32,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,10
4007 Clever C2 .26,0A:00:3E:25:6E:C2,10.4.7.26,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,10
4007 Clever RTR,00:00:00:00:00:0A,10.4.7.254,Router,Mikrotik Router,,ICMP and SNMP,!highspeed,2,10
4007 Clever C2 .25,0A:00:3E:20:EF:C5,10.4.7.25,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,10
4007 Clever C2 .24,0A:00:3E:23:2D:FA,10.4.7.24,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,10
4007 Clever C2 .23,0A:00:3E:23:A2:39,10.4.7.23,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,10
4007 Clever C2 .22,0A:00:3E:20:71:D7,10.4.7.22,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,10
4007 Clever C2 .21,0A:00:3E:26:E8:F3,10.4.7.21,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,10
4007 Clever UPS,00:00:00:00:00:0A,10.4.7.15,UPS,APC UPS,,ICMP and SNMP,!highspeed,2,10
4067 Hwy ZZ C9 .96,0A:00:3E:91:B7:5B,10.4.67.96,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,131
4067 Hwy ZZ C9 .95,0A:00:3E:91:4B:B3,10.4.67.95,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,131
4067 Hwy ZZ C9 .94,0A:00:3E:91:06:F0,10.4.67.94,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,131
4067 Hwy ZZ C9 .93,0A:00:3E:91:44:E2,10.4.67.93,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,131
4067 Hwy ZZ C9 .92,0A:00:3E:92:81:D8,10.4.67.92,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,131
4067 Hwy ZZ C9 .91,0A:00:3E:90:6C:48,10.4.67.91,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,131
4067 Hwy ZZ RM5 .50,00:27:22:C9:90:E9,10.4.67.50,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,131
4067 Hwy ZZ UPS,00:00:00:00:00:0A,10.4.67.15,UPS,APC UPS,,ICMP and SNMP,!highspeed,2,131
4067 Hwy ZZ AF5x .131,06:18:D6:E3:4C:3F,10.4.67.131,Backhaul,Ubiquiti PTP,,ICMP and SNMP,!highspeed,1,131
4067 Hwy ZZ AF5x .130,06:18:D6:E3:4C:65,10.4.67.130,Backhaul,Ubiquiti PTP,,ICMP and SNMP,!highspeed,1,131
4067 Hwy ZZ SiteMonitor,00:00:00:00:00:0A,10.4.67.10,Sync Timing,PacketFlux SiteMonitor,,ICMP and SNMP,!highspeed,2,131
4064 Flat Creek C9 .96,0A:00:3E:95:7D:D7,10.4.64.96,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,128
4064 Flat Creek C9 .95,0A:00:3E:92:FC:59,10.4.64.95,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,128
4064 Flat Creek C9 .94,0A:00:3E:96:4F:7E,10.4.64.94,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,128
4064 Flat Creek C9 .93,0A:00:3E:90:21:AD,10.4.64.93,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,128
4064 Flat Creek C9 .92,0A:00:3E:91:DE:AD,10.4.64.92,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,128
4064 Flat Creek C9 .91,0A:00:3E:93:F6:D6,10.4.64.91,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,128
4064 Flat Creek RM2 .20,68:72:51:41:3F:CA,10.4.64.20,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,128
4064 Flat Creek UPS,00:00:00:00:00:0A,10.4.64.15,UPS,APC UPS,,ICMP and SNMP,!highspeed,2,128
4064 Flat Creek C5 .131,0A:00:3E:B0:AD:49,10.4.64.131,Backhaul,Cambium PTP,,ICMP and SNMP,!highspeed,2,128
4064 Flat Creek C5 .130,0A:00:3E:B0:A6:9C,10.4.64.130,Backhaul,Cambium PTP,,ICMP and SNMP,!highspeed,2,128
4064 Flat Creek SiteMonitor,00:00:00:00:00:0A,10.4.64.10,Sync Timing,PacketFlux SiteMonitor,,ICMP and SNMP,!highspeed,2,128
4063 Fun in the Son RM365 .36,68:72:51:63:A1:DA,10.4.63.36,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,272
4063 Fun in the Son RM365 .34,68:72:51:6B:9A:73,10.4.63.34,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,272
4063 Fun in the Son RM365 .31,68:72:51:6B:9A:77,10.4.63.31,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,272
4063 Fun in the Son UPS,00:00:00:00:00:0A,10.4.63.15,UPS,APC UPS,,ICMP and SNMP,!highspeed,2,272
4063 Fun in the Son PBEM5 .131,80:2A:A8:EF:7D:57,10.4.63.131,Backhaul,Ubiquiti PTP,,ICMP and SNMP,!highspeed,1,272
4063 Fun in the Son PBEM5 .130,80:2A:A8:E5:27:3D,10.4.63.130,Backhaul,Ubiquiti PTP,,ICMP and SNMP,!highspeed,1,272
4063 Fun in the Son Netonix .10,00:00:00:00:00:0A,10.4.63.10,POE,Netonix POE Switch,,ICMP and SNMP,!highspeed,2,272
4060 Hootentown C9+ .99,0A:00:3E:45:94:D6,10.4.60.99,Access Point,Cambium PMP450 AP,,ICMP and SNMP,!highspeed,2,21
4060 Hootentown RTR,00:00:00:00:00:0A,10.4.60.254,Router,Mikrotik Router,,ICMP and SNMP,!highspeed,2,21
4060 Hootentown C2 .22,0A:00:3E:27:9D:5B,10.4.60.22,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,21
4060 Hootentown C2 .20,0A:00:3E:27:2E:50,10.4.60.20,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,21
4060 Hootentown UPS,00:00:00:00:00:0A,10.4.60.15,UPS,APC UPS,,ICMP and SNMP,!highspeed,2,21
4060 Hootentown 060 to 006 BHS PTP450,0A:00:3E:B3:0B:A9,10.4.60.131,Backhaul,Cambium PTP,,ICMP and SNMP,!highspeed,2,21
4060 Hootentown 006 Highlandville f 060 Hootentown BHM,0A:00:3E:B3:0D:83,10.4.60.130,Backhaul,Cambium PTP,,ICMP and SNMP,!highspeed,2,21
4060 Hootentown Netonix .11,00:00:00:00:00:0A,10.4.60.11,POE,Netonix POE Switch,,ICMP and SNMP,!highspeed,2,21
4060 Hootentown SiteMonitor,00:00:00:00:00:0A,10.4.60.10,Sync Timing,PacketFlux SiteMonitor,,ICMP and SNMP,!highspeed,2,21
4059 Staiger C9 .90,0A:00:3E:90:20:3F,10.4.59.90,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,65
4059 Staiger RM5 .50,00:27:22:27:6E:0D,10.4.59.50,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,65
4059 Staiger UPS,00:00:00:00:00:0A,10.4.59.15,UPS,APC UPS,,ICMP and SNMP,!highspeed,2,65
4059 Staiger C5 .131,0A:00:3E:B0:A1:97,10.4.59.131,Backhaul,Cambium PTP,,ICMP and SNMP,!highspeed,2,65
4059 Staiger C5 .130,0A:00:3E:B0:A3:1F,10.4.59.130,Backhaul,Cambium PTP,,ICMP and SNMP,!highspeed,2,65
4055 Smith C9 .94,0A:00:3E:92:D6:2E,10.4.55.94,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,61
4055 Smith C9 .91,0A:00:3E:93:B2:85,10.4.55.91,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,61
4055 Smith C9 .90,0A:00:3E:91:78:57,10.4.55.90,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,61
4055 Smith PBEM5 .59,80:2A:A8:73:0D:9A,10.4.55.59,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,61
4055 Smith NSM5 .50,00:27:22:7D:27:18,10.4.55.50,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,61
4055 Smith C2 .26,0A:00:3E:27:8A:3E,10.4.55.26,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,61
4055 Smith C2 .25,0A:00:3E:20:B9:A2,10.4.55.25,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,61
4055 Smith C2 .24,0A:00:3E:23:9F:F2,10.4.55.24,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,61
4055 Smith C2 .23,0A:00:3E:23:26:1B,10.4.55.23,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,61
4055 Smith C2 .22,0A:00:3E:26:99:59,10.4.55.22,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,61
4055 Smith C2 .21,0A:00:3E:23:A2:26,10.4.55.21,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,61
4055 Smith UPS,00:00:00:00:00:0A,10.4.55.15,UPS,APC UPS,,ICMP and SNMP,!highspeed,2,61
4055 Smith AF5x .139,06:18:D6:E3:D4:6F,10.4.55.139,Backhaul,Ubiquiti PTP,,ICMP and SNMP,!highspeed,1,61
4055 Smith AF5x .138,06:18:D6:E3:D3:F1,10.4.55.138,Backhaul,Ubiquiti PTP,,ICMP and SNMP,!highspeed,1,61
4055 Smith SiteMonitor,00:00:00:00:00:0A,10.4.55.10,Sync Timing,PacketFlux SiteMonitor,,ICMP and SNMP,!highspeed,2,61
4054 Wheaton C9 .95,0A:00:3E:91:0C:C3,10.4.54.95,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,60
4054 Wheaton C9 .90,0A:00:3E:92:9A:C2,10.4.54.90,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,60
4054 Wheaton RM2 .20,68:72:51:25:1A:D4,10.4.54.20,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,60
4054 Wheaton AF5x .139,82:2A:A8:CE:1D:F4,10.4.54.139,Backhaul,Ubiquiti PTP,,ICMP and SNMP,!highspeed,1,60
4054 Wheaton AF5x .138,06:18:D6:E3:D5:10,10.4.54.138,Backhaul,Ubiquiti PTP,,ICMP and SNMP,!highspeed,1,60
4054 Wheaton C9 .130,0A:00:3E:B0:A1:49,10.4.54.130,Backhaul,Cambium PTP,,ICMP and SNMP,!highspeed,2,60
4053 Cassville C9+ .94,0A:00:3E:45:91:1F,10.4.53.94,Access Point,Cambium PMP450 AP,,ICMP and SNMP,!highspeed,2,59
4053 Cassville C9+ .93,0A:00:3E:45:90:FF,10.4.53.93,Access Point,Cambium PMP450 AP,,ICMP and SNMP,!highspeed,2,59
4053 Cassville C9+ .92,0A:00:3E:45:8F:65,10.4.53.92,Access Point,Cambium PMP450 AP,,ICMP and SNMP,!highspeed,2,59
4053 Cassville C9+ .91,0A:00:3E:45:90:FE,10.4.53.91,Access Point,Cambium PMP450 AP,,ICMP and SNMP,!highspeed,2,59
4053 Cassville RM2 .20,68:72:51:21:F7:33,10.4.53.20,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,59
4053 Cassville No Site Name,0A:00:3E:B2:AE:60,10.4.53.131,Backhaul,Cambium PTP,,ICMP and SNMP,!highspeed,2,59
4053 Cassville 10.53.200.2 cc53 5800 BHM to 053,0A:00:3E:B3:74:76,10.4.53.130,Backhaul,Cambium PTP,,ICMP and SNMP,!highspeed,2,59
4053 Cassville Netonix .10,00:00:00:00:00:0A,10.4.53.10,POE,Netonix POE Switch,,ICMP and SNMP,!highspeed,2,59
4052 Butterfield RM5 .53,44:D9:E7:45:C4:7B,10.4.52.53,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,58
4052 Butterfield RTR,00:00:00:00:00:0A,10.4.52.254,Router,Mikrotik Router,,ICMP and SNMP,!highspeed,2,58
4052 Butterfield UPS,00:00:00:00:00:0A,10.4.52.15,UPS,APC UPS,,ICMP and SNMP,!highspeed,2,58
4052 Butterfield AF24 .139,82:2A:A8:CF:10:D0,10.4.52.139,Backhaul,Ubiquiti PTP,,ICMP and SNMP,!highspeed,1,58
4052 Butterfield AF24 .138,02:27:22:DA:B3:79,10.4.52.138,Backhaul,Ubiquiti PTP,,ICMP and SNMP,!highspeed,1,58
4052 Butterfield C9 .130,0A:00:3E:39:46:68,10.4.52.130,Backhaul,Cambium PTP,,ICMP and SNMP,!highspeed,2,58
4052 Butterfield Netonix .11,00:00:00:00:00:0A,10.4.52.11,POE,Netonix POE Switch,,ICMP and SNMP,!highspeed,2,58
4051 Purdy C9 .99,0A:00:3E:95:E9:F6,10.4.51.99,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,57
4051 Purdy C9 .96,0A:00:3E:90:1B:A9,10.4.51.96,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,57
4051 Purdy C9 .95,0A:00:3E:90:B0:52,10.4.51.95,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,57
4051 Purdy C9 .94,0A:00:3E:9D:70:3A,10.4.51.94,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,57
4051 Purdy C9 .93,0A:00:3E:90:A3:05,10.4.51.93,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,57
4051 Purdy C9 .92,0A:00:3E:90:38:DF,10.4.51.92,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,57
4051 Purdy C9 .91,0A:00:3E:90:B0:BF,10.4.51.91,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,57
4051 Purdy C5 .50,0A:00:3E:04:D8:5C,10.4.51.50,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,57
4051 Purdy RM365 .30,68:72:51:47:65:D0,10.4.51.30,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,57
4051 Purdy RTR,00:00:00:00:00:0A,10.4.51.254,Router,Mikrotik Router,,ICMP and SNMP,!highspeed,2,57
4051 Purdy C9 .24,0A:00:3E:27:36:43,10.4.51.24,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,57
4051 Purdy C9 .23,0A:00:3E:24:56:CB,10.4.51.23,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,57
4051 Purdy C9 .22,0A:00:3E:26:CD:2F,10.4.51.22,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,57
4051 Purdy RM2 .20,68:72:51:69:FA:2C,10.4.51.20,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,57
4051 Purdy UPS,00:00:00:00:00:0A,10.4.51.15,UPS,APC UPS,,ICMP and SNMP,!highspeed,2,57
4051 Purdy AF5x .139,82:2A:A8:CE:66:3F,10.4.51.139,Backhaul,Ubiquiti PTP,,ICMP and SNMP,!highspeed,1,57
4051 Purdy AF5x .138,82:2A:A8:CE:20:55,10.4.51.138,Backhaul,Ubiquiti PTP,,ICMP and SNMP,!highspeed,1,57
4051 Purdy Netonix .10,00:00:00:00:00:0A,10.4.51.10,POE,Netonix POE Switch,,ICMP and SNMP,!highspeed,2,57
4050 Lowes C9 .94,0A:00:3E:92:51:72,10.4.50.94,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,56
4050 Lowes C9 .93,0A:00:3E:90:66:FB,10.4.50.93,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,56
4050 Lowes C9 .92,0A:00:3E:90:4D:8E,10.4.50.92,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,56
